2026-09-03 14:27:54    신호가 났던 종목 124개를 받는다
2026-09-03 14:27:54  ===== 종목뉴스 수집 (네이버 금융) · 124종목 · 최대 40쪽 =====
2026-09-03 14:27:55    001780    45건 · 20250910 ~ 20260723
2026-09-03 14:27:57    003310    40건 · 20250926 ~ 20260720
2026-09-03 14:27:59    004090    92건 · 20250917 ~ 20260727
2026-09-03 14:27:59    004250    15건 · 20250930 ~ 20260507
2026-09-03 14:28:01    004560    60건 · 20250904 ~ 20260818
2026-09-03 14:28:02    006910    49건 · 20250903 ~ 20260827
2026-09-03 14:28:03    011500    28건 · 20250929 ~ 20260708
2026-09-03 14:28:04    011560    32건 · 20250910 ~ 20260818
2026-09-03 14:28:05    011700    40건 · 20250922 ~ 20260826
2026-09-03 14:28:07    012690    53건 · 20250912 ~ 20260827
2026-09-03 14:28:08    013990    27건 · 20250904 ~ 20260818
2026-09-03 14:28:09    014940    60건 · 20250904 ~ 20260722
2026-09-03 14:28:10    014970    27건 · 20250908 ~ 20260727
2026-09-03 14:28:10    017370    10건 · 20250913 ~ 20260813
2026-09-03 14:28:11    017550    31건 · 20260120 ~ 20260826
2026-09-03 14:28:12    020710    20건 · 20250923 ~ 20260831
2026-09-03 14:28:13    027050    25건 · 20250908 ~ 20260715
2026-09-03 14:28:14    032940    53건 · 20250916 ~ 20260903
2026-09-03 14:28:25    035510   299건 · 20250903 ~ 20260903
2026-09-03 14:28:28    036220    56건 · 20250904 ~ 20260901
2026-09-03 14:28:28    036890    23건 · 20251023 ~ 20260902
2026-09-03 14:28:30    039440    67건 · 20250919 ~ 20260902
2026-09-03 14:28:32    041440    63건 · 20250916 ~ 20260526
2026-09-03 14:28:33    041460     5건 · 20251208 ~ 20260611
2026-09-03 14:28:37    041920   132건 · 20250908 ~ 20260831
2026-09-03 14:28:38    044990    28건 · 20250929 ~ 20260824
2026-09-03 14:28:40    047770    94건 · 20251001 ~ 20260902
2026-09-03 14:28:43    052260    64건 · 20250916 ~ 20260812
2026-09-03 14:28:45    052420    65건 · 20250903 ~ 20260902
