  20250901부터 · 확정 규칙(57~77차)으로 실제 종목을 뽑는다

  ══ 뽑힌 종목 134건 · 신호일 18일 ══

    매수일       종목      이름                 매수가     상대갭     20일      시총      미국       결과    며칠  상태
    20251121  322310  오로스테크놀로지        22,000   -5.5%  -13.1%  2,201억  -1.52%   +19.7%    27  목표달성
    20251121  077360  덕산하이메탈           5,350   -5.2%  -14.5%  2,590억  -1.52%   +19.7%    28  목표달성
    20251224  053350  이니텍              4,050   -6.6%  -51.0%    998억  +0.46%   +19.7%     1  목표달성
    20260303  219130  타이거일렉           28,250   -3.3%  -17.5%  1,866억  +0.06%   +19.7%     9  목표달성
    20260303  372910  한컴라이프케어          2,630   -3.1%  -10.6%    760억  +0.06%    -0.1%    40  D+40매도
    20260304  211270  AP위성            15,110   -5.4%  -14.4%  2,448억  -0.88%   +19.7%     5  목표달성
    20260304  439090  마녀공장            11,750   -5.3%  -13.8%  2,067억  -0.88%   +19.7%    37  목표달성
    20260304  451250  삐아               7,870   -4.6%  -10.9%    857억  -0.88%   +19.7%    37  목표달성
    20260304  114450  그린생명과학           2,525   -3.5%  -11.6%    532억  -0.88%   +19.7%    10  목표달성
    20260304  027050  코리아나             1,855   -3.5%  -11.6%    782억  -0.88%   +19.7%    37  목표달성
    20260304  114840  아이패밀리에스씨        11,890   -3.3%  -17.7%  2,163억  -0.88%    -6.0%    40  D+40매도
    20260304  054540  삼영엠텍            12,000   -3.2%  -15.6%  1,638억  -0.88%   +19.7%    35  목표달성
    20260304  086960  MDS테크            1,220   -3.2%  -16.6%  1,301억  -0.88%    -8.9%    40  D+40매도
    20260305  277070  린드먼아시아           3,925   -6.9%  -15.6%    555억  +0.71%    +8.8%    40  D+40매도
    20260305  104040  디에스엠               592   -5.1%  -20.1%    804억  +0.71%   +19.7%     6  목표달성
    20260305  053350  이니텍              2,995   -3.8%  -30.7%    660억  +0.71%   +19.7%    29  목표달성
    20260305  333620  엔시스              5,560   -3.4%  -18.8%    585억  +0.71%   +19.7%    23  목표달성
    20260305  012690  모나리자             1,969   -3.4%  -12.1%    717억  +0.71%   +19.7%     3  목표달성
    20260305  461300  아이스크림미디어        14,650   -3.2%  -14.0%  1,938억  +0.71%   +19.7%     8  목표달성
    20260305  081150  티플랙스             2,735   -3.2%  -12.1%    660억  +0.71%   +19.7%     5  목표달성
    20260305  453860  에이에스텍           13,760   -3.0%  -15.7%    880억  +0.71%   +10.7%    40  D+40매도
    20260309  068790  DMS              7,510   -3.4%  -12.7%  1,801억  -1.31%   +19.7%    35  목표달성
    20260513  115310  인포바인            11,500   -5.7%  -11.5%  1,948억  -0.15%   -36.1%    40  D+40매도
    20260520  481070  에이유브랜즈          15,210   -4.5%  -10.4%  2,270억  -0.67%    +1.9%    40  D+40매도
    20260520  069510  에스텍             13,450   -3.0%  -11.0%  1,513억  -0.67%    -8.7%    40  D+40매도
    20260522  033830  티비씨                490   -3.2%  -19.8%    505억  +0.20%   -35.1%    40  D+40매도
    20260602  176750  듀켐바이오            6,200   -3.4%  -29.5%  1,832억  +0.27%   +19.7%     9  목표달성
    20260602  439090  마녀공장            13,310   -3.3%  -17.9%  2,261억  +0.27%   +19.7%    20  목표달성
    20260604  481070  에이유브랜즈          12,010   -4.8%  -31.7%  1,807억  -0.70%   +19.7%     6  목표달성
    20260604  014160  대영포장               823   -4.0%  -28.3%    929억  -0.70%   -16.7%    40  D+40매도
    20260604  458650  성우              10,720   -3.5%  -19.5%  1,672억  -0.70%   -28.9%    40  D+40매도
    20260604  451250  삐아               6,610   -3.4%  -23.0%    699억  -0.70%   +19.7%     6  목표달성
    20260608  123420  위메이드플레이          5,610   -7.0%  -18.5%    663억  -2.58%   +19.7%    17  목표달성
    20260608  010660  화천기계             2,750   -4.8%  -34.8%    661억  -2.58%    -0.3%    40  D+40매도
    20260608  102120  어보브반도체           9,310   -4.8%  -33.3%  1,808억  -2.58%   +19.7%     5  목표달성
    20260608  092300  현우산업             3,120   -4.6%  -13.7%    685억  -2.58%   -23.5%    40  D+40매도
    20260608  052420  오성첨단소재           8,000   -4.4%  -39.9%    848억  -2.58%   +14.7%    40  D+40매도
    20260608  013990  아가방컴퍼니           3,730   -3.2%  -19.1%  1,317억  -2.58%   +19.7%     2  목표달성
    20260608  445180  퓨릿               8,260   -3.1%  -29.8%  1,523억  -2.58%   +19.7%     4  목표달성
    20260609  050960  수산아이앤티           7,080   -5.7%  -20.1%    506억  +0.23%   +16.7%    40  D+40매도
    20260609  417970  모델솔루션           12,310   -4.7%  -30.5%    826억  +0.23%   +19.7%     3  목표달성
    20260609  377450  리파인              9,050   -3.9%  -21.3%  1,631억  +0.23%   +19.7%    21  목표달성
    20260609  366030  나인앤컴퍼니           4,440   -3.5%  -30.4%  1,042억  +0.23%   +19.7%    10  목표달성
    20260609  096250  와이즈넛             6,750   -3.4%  -31.6%    915억  +0.23%   +19.7%     8  목표달성
    20260624  042110  에스씨디             1,011   -6.8%  -26.0%    524억  -1.45%   +19.7%     7  목표달성
    20260624  123420  위메이드플레이          5,410   -3.7%  -21.3%    585억  -1.45%   +19.7%     5  목표달성
    20260624  036220  오상헬스케어           5,330   -3.3%  -28.9%    788억  -1.45%   +19.7%    28  목표달성
    20260629  123420  위메이드플레이          5,070   -5.4%  -21.2%    557억  -0.72%   +19.7%     1  목표달성
    20260629  273640  와이엠텍             4,910   -4.3%  -40.6%    563억  -0.72%    +3.0%    40  D+40매도
    20260629  014970  삼륭물산             4,060   -4.0%  -26.8%    627억  -0.72%   +19.7%     7  목표달성
    20260629  333430  일승               3,120   -3.7%  -26.4%    996억  -0.72%   +19.7%    18  목표달성
    20260629  036220  오상헬스케어           5,200   -3.5%  -24.5%    771억  -0.72%   +19.7%    24  목표달성
    20260629  303810  동국생명과학           2,275   -3.4%  -20.0%    753억  -0.72%    +0.6%    40  D+40매도
    20260629  052260  현대바이오랜드          3,165   -3.4%  -17.7%    982억  -0.72%   +19.7%    29  목표달성
    20260629  020710  시공테크             3,165   -3.1%  -18.2%    655억  -0.72%   +19.7%    11  목표달성
    20260629  004090  한국석유            10,300   -3.0%  -19.4%  1,348억  -0.72%   +19.7%     7  목표달성
    20260713  047920  HLB제약            7,150  -16.6%  -21.8%  2,811억  +0.43%   +19.7%     2  목표달성
    20260721  106190  하이텍팜            10,030   -4.2%  -23.3%  1,118억  -0.16%   +19.7%    19  목표달성
    20260730  290740  액트로              4,550  -25.5%  -34.7%    627억  -1.54%   +19.7%     1  목표달성
    20260730  450950  아스테라시스           4,100  -16.5%  -28.0%  1,881억  -1.54%   +19.7%     1  목표달성
    20260730  060570  드림어스컴퍼니            681  -15.4%  -12.8%    608억  -1.54%   +19.7%    22  목표달성
    20260730  041920  메디아나             6,600  -12.1%  -34.1%  1,421억  -1.54%   +19.7%     1  목표달성
    20260730  474170  루미르              4,040  -12.1%  -38.4%    833억  -1.54%   +19.7%     1  목표달성
    20260730  088390  이녹스              5,120  -10.5%  -25.2%    546억  -1.54%   +19.7%     1  목표달성
    20260730  251120  바이오에프디엔씨         6,330   -9.2%  -17.6%    617억  -1.54%   +19.7%     2  목표달성
