2026-09-03 19:40:50  ===== 미국 반도체 개별 · 28종목 =====
2026-09-03 19:40:51    MU     마이크론⭐             19950103 ~ 20260902 · 7,970일
2026-09-03 19:40:52    WDC    웨스턴디지털            19950103 ~ 20260902 · 7,969일
2026-09-03 19:40:53    STX    씨게이트              20021211 ~ 20260902 · 5,968일
2026-09-03 19:40:54    TSM    TSMC⭐             19971009 ~ 20260902 · 7,269일
2026-09-03 19:40:55    UMC    UMC               20000919 ~ 20260902 · 6,526일
2026-09-03 19:40:56    GFS    글로벌파운드리           20211028 ~ 20260902 · 1,215일
2026-09-03 19:40:57    NVDA   엔비디아⭐             19990122 ~ 20260902 · 6,946일
2026-09-03 19:40:59    AMD    AMD               19950103 ~ 20260902 · 7,970일
2026-09-03 19:41:00    INTC   인텔                19950103 ~ 20260902 · 7,970일
2026-09-03 19:41:01    QCOM   퀄컴                19950103 ~ 20260902 · 7,969일
2026-09-03 19:41:02    AVGO   브로드컴              20090806 ~ 20260902 · 4,295일
2026-09-03 19:41:03    TXN    TI                19950103 ~ 20260902 · 7,969일
2026-09-03 19:41:04    ADI    아나로그디바이스          19950103 ~ 20260902 · 7,970일
2026-09-03 19:41:06    MRVL   마벨                20000630 ~ 20260902 · 6,582일
2026-09-03 19:41:07    NXPI   NXP               20100806 ~ 20260902 · 4,043일
2026-09-03 19:41:08    ON     온세미               20000502 ~ 20260902 · 6,624일
2026-09-03 19:41:09    MCHP   마이크로칩             19950103 ~ 20260902 · 7,970일
2026-09-03 19:41:10    STM    ST마이크로            19950103 ~ 20260902 · 7,969일
2026-09-03 19:41:11    ARM    ARM               20230914 ~ 20260902 · 744일
2026-09-03 19:41:13    AMAT   어플라이드⭐            19950103 ~ 20260902 · 7,969일
2026-09-03 19:41:14    LRCX   램리서치⭐             19950103 ~ 20260902 · 7,969일
2026-09-03 19:41:15    KLAC   KLA⭐              19950103 ~ 20260902 · 7,970일
2026-09-03 19:41:16    ASML   ASML⭐             19950315 ~ 20260902 · 7,919일
2026-09-03 19:41:19    TER    테라다인              19950103 ~ 20260902 · 7,970일
2026-09-03 19:41:20    ONTO   온투이노베이션           20191028 ~ 20260902 · 1,720일
2026-09-03 19:41:21    ACLS   액셀리스              20000711 ~ 20260902 · 6,575일
2026-09-03 19:41:22    ENTG   엔테그리스             20000711 ~ 20260902 · 6,575일
2026-09-03 19:41:23    MKSI   MKS인스트루먼트         19990330 ~ 20260902 · 6,899일
2026-09-03 19:41:24    끝 · 받음 28 · 실패 0
